"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.onlinepokerwebsites.com/guides/poker-bonuses-explained/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Poker Bonuses Explained: How Welcome Offers Really Work | Online Poker Websites","79","750","How online poker welcome bonuses and rakeback actually work — clearing requirements, promo codes, reloads and how to compare real value. A no-nonsense 2026 guide.","162","1052","online poker sites,best poker sites,US poker sites,Canada poker sites,real money poker,poker site reviews,poker bonuses,Americas Cardroom,BetOnline poker","153","Poker Bonuses Explained","23","How a deposit-match bonus works","31","Clearing the bonus: rake and increments","39","index, follow","index, follow, max-image-preview:large","","","https://onlinepokerwebsites.com/guides/poker-bonuses-explained/","","","","","","55855","9792","9792","1,451","","649","94","6,904","74,817","Fairly Easy","9,200","1","2","","119","33","0","100,000","39","15","0","0","0","0","","","","","87af3437ec4a3be0dcb8a4ff728b032b","0,223","Thu, 13 Aug 2026 13:10:49 GMT","","","","en","1.1","","","","","","https://www.onlinepokerwebsites.com/guides/poker-bonuses-explained/","2026-08-13 16:10:48"
"https://onlinepokerwebsites.com/guides/poker-bonuses-explained/","text/html","308","Permanent Redirect","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","2","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,076","","https://www.onlinepokerwebsites.com/guides/poker-bonuses-explained/","HTTP Redirect","","","1.1","","","","","","https://onlinepokerwebsites.com/guides/poker-bonuses-explained/","2026-08-13 16:10:49"
"https://onlinepokerwebsites.com/responsible-gambling/","text/html","308","Permanent Redirect","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","1","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,073","","https://www.onlinepokerwebsites.com/responsible-gambling/","HTTP Redirect","","","1.1","","","","","","https://onlinepokerwebsites.com/responsible-gambling/","2026-08-13 16:10:49"
"https://www.onlinepokerwebsites.com/guides/canada-online-poker/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Online Poker in Canada: Legality, Provinces & Best Sites (2026) | Online Poker Websites","87","777","Where Canadians can play online poker in 2026: federal and provincial law, Ontario's regulated market, offshore options and CAD-friendly banking. Not legal advice.","163","1004","online poker sites,best poker sites,US poker sites,Canada poker sites,real money poker,poker site reviews,poker bonuses,Americas Cardroom,BetOnline poker","153","Online Poker in Canada","22","Is online poker legal in Canada?","32","Ontario's regulated market","26","index, follow","index, follow, max-image-preview:large","","","https://onlinepokerwebsites.com/guides/canada-online-poker/","","","","","","53837","9225","9225","1,367","","496","76","6,526","41,586","Hard","8,701","1","2","","110","33","0","100,000","38","15","0","0","0","0","","","","","499166ef7bc4f602adc90b7b73a06278","0,214","Thu, 13 Aug 2026 13:10:49 GMT","","","","en","1.1","","","","","","https://www.onlinepokerwebsites.com/guides/canada-online-poker/","2026-08-13 16:10:48"
"https://onlinepokerwebsites.com/guides/canada-online-poker/","text/html","308","Permanent Redirect","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","2","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,082","","https://www.onlinepokerwebsites.com/guides/canada-online-poker/","HTTP Redirect","","","1.1","","","","","","https://onlinepokerwebsites.com/guides/canada-online-poker/","2026-08-13 16:10:49"
"https://www.onlinepokerwebsites.com/reviews/betonline-poker/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","BetOnline Poker Review 2026 — 100% up to $1,000 Bonus | Online Poker Websites","77","727","BetOnline Poker review: Crypto-first poker plus a full sportsbook and casino under one roof. Bonus, banking, traffic, safety and a full verdict for US & Canadian players. Rated 4.5/5.","183","1104","online poker sites,best poker sites,US poker sites,Canada poker sites,real money poker,poker site reviews,poker bonuses,Americas Cardroom,BetOnline poker","153","BetOnline Poker Review","22","Overview","8","Key facts","9","index, follow","index, follow, max-image-preview:large","","","https://onlinepokerwebsites.com/reviews/betonline-poker/","","","","","","91052","15538","15538","2,303","","870","153","5,686","72,121","Fairly Easy","7,160","1","2","","51","33","0","100,000","37","15","0","0","0","0","","","","","53eb7dbfa594897c1a2111cbeb0da1cc","0,374","Thu, 13 Aug 2026 13:10:49 GMT","","","","en","1.1","","","","","","https://www.onlinepokerwebsites.com/reviews/betonline-poker/","2026-08-13 16:10:48"
"https://www.onlinepokerwebsites.com/news/sportsbetting-ag-poker-crossover-2026/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","SportsBetting.ag for Poker Players (2026): A Practical Look | Online Poker Websites","83","742","SportsBetting.ag is best known for its sportsbook, but it runs full Chico Network poker too. Here's what poker players get, and who the crossover room suits in 2026.","165","1012","online poker sites,best poker sites,US poker sites,Canada poker sites,real money poker,poker site reviews,poker bonuses,Americas Cardroom,BetOnline poker","153","SportsBetting.ag for Poker Players: The Sportsbook-First Room, Reviewed","71","Same Chico pool, sportsbook-first packaging","43","The welcome offer, in context","29","index, follow","index, follow, max-image-preview:large","","","https://onlinepokerwebsites.com/news/sportsbetting-ag-poker-crossover-2026/","","","","","","60289","11639","11639","1,725","","1184","169","7,006","68,180","Normal","14,588","2","2","","2","2","0","6,060","42","19","0","0","0","0","","","","","4c24787463926abc13d519281431e2e1","0,357","Thu, 13 Aug 2026 13:10:49 GMT","","","","en","1.1","","","","","","https://www.onlinepokerwebsites.com/news/sportsbetting-ag-poker-crossover-2026/","2026-08-13 16:10:49"
"https://onlinepokerwebsites.com/reviews/betonline-poker/","text/html","308","Permanent Redirect","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","2","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,161","","https://www.onlinepokerwebsites.com/reviews/betonline-poker/","HTTP Redirect","","","1.1","","","","","","https://onlinepokerwebsites.com/reviews/betonline-poker/","2026-08-13 16:10:49"
"https://www.onlinepokerwebsites.com/news/stablecoins-poker-bankrolls-mainstream-2026/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Stablecoins for Poker Bankrolls: Why USDC & USDT Went Mainstream | Online Poker Websites","88","836","Stablecoins have become the smart way to hold an online poker bankroll — dollar-pegged, fast and fee-free. Here's why USDC and USDT took over, and how to use them.","163","1032","online poker sites,best poker sites,US poker sites,Canada poker sites,real money poker,poker site reviews,poker bonuses,Americas Cardroom,BetOnline poker","153","Stablecoins and Poker Bankrolls: USDC and USDT Go Mainstream","60","What a stablecoin actually is","29","Why they fit poker perfectly","28","index, follow","index, follow, max-image-preview:large","","","https://onlinepokerwebsites.com/news/stablecoins-poker-bankrolls-mainstream-2026/","","","","","","55922","10492","10492","1,555","","819","108","7,583","71,257","Fairly Easy","11,495","2","2","","2","2","0","6,060","42","19","0","0","0","0","","","","","47e66cbcb06126c8422749b51e9f5a7d","0,291","Thu, 13 Aug 2026 13:10:49 GMT","","","","en","1.1","","","","","","https://www.onlinepokerwebsites.com/news/stablecoins-poker-bankrolls-mainstream-2026/","2026-08-13 16:10:49"
"https://www.onlinepokerwebsites.com/news/acr-venom-2026-record-guarantees/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","ACR Venom 2026: Record Guarantees Explained for US Poker Players | Online Poker Websites","88","833","Americas Cardroom's Venom is back with its largest guarantees yet. We break down the schedule, satellites and what the numbers mean for US and Canadian players in 2026.","168","1073","online poker sites,best poker sites,US poker sites,Canada poker sites,real money poker,poker site reviews,poker bonuses,Americas Cardroom,BetOnline poker","153","ACR's Venom Series Returns Bigger in 2026: What Record Guarantees Mean for US Players","85","What the Venom actually is","26","The satellite ladder: how to get in cheap","41","index, follow","index, follow, max-image-preview:large","","","https://onlinepokerwebsites.com/news/acr-venom-2026-record-guarantees/","","","","","","58280","11023","11023","1,634","","1022","132","7,742","65,123","Normal","13,326","2","2","","2","2","0","6,060","42","19","0","0","0","0","","","","","8f44d811fc1b3f9146e2d0db3d35095f","0,279","Thu, 13 Aug 2026 13:10:49 GMT","","","","en","1.1","","","","","","https://www.onlinepokerwebsites.com/news/acr-venom-2026-record-guarantees/","2026-08-13 16:10:49"
"https://www.onlinepokerwebsites.com/news/chico-vs-winning-poker-network-2026/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Chico vs Winning Poker Network 2026: Which Is Better for You? | Online Poker Websites","85","778","The two biggest US-facing poker networks compared: traffic, games, bonuses, banking and player type. A practical 2026 guide to choosing between Chico and WPN.","158","1012","online poker sites,best poker sites,US poker sites,Canada poker sites,real money poker,poker site reviews,poker bonuses,Americas Cardroom,BetOnline poker","153","Chico Network vs. Winning Poker Network: Where Should You Play in 2026?","71","Traffic: WPN leads on volume","28","Tournaments: WPN's guarantees are bigger","40","index, follow","index, follow, max-image-preview:large","","","https://onlinepokerwebsites.com/news/chico-vs-winning-poker-network-2026/","","","","","","56305","10503","10503","1,557","","814","121","6,727","68,950","Normal","11,566","2","2","","2","2","0","6,060","45","19","0","0","0","0","","","","","ffae13104b00791054ce4fa2f38ca07b","0,297","Thu, 13 Aug 2026 13:10:49 GMT","","","","en","1.1","","","","","","https://www.onlinepokerwebsites.com/news/chico-vs-winning-poker-network-2026/","2026-08-13 16:10:49"
"https://www.onlinepokerwebsites.com/news/crypto-default-offshore-poker-2026/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Why Crypto Became the Default Banking Method at Poker Sites (2026) | Online Poker Websites","90","842","Cryptocurrency has quietly become the standard way to deposit and withdraw at US-facing poker sites. Here's why, what it means for payout speed, and how to use it safely.","170","1065","online poker sites,best poker sites,US poker sites,Canada poker sites,real money poker,poker site reviews,poker bonuses,Americas Cardroom,BetOnline poker","153","Crypto Is Now the Default at Offshore Poker Sites — Here's Why It Matters","73","Why card deposits stopped being reliable","40","The payout-speed difference is real","35","index, follow","index, follow, max-image-preview:large","","","https://onlinepokerwebsites.com/news/crypto-default-offshore-poker-2026/","","","","","","56413","10725","10725","1,589","","892","117","7,624","71,912","Fairly Easy","12,159","2","2","","2","2","0","6,060","42","19","0","0","0","0","","","","","59379ed3a5139dfbdc4b4964e37abe40","0,218","Thu, 13 Aug 2026 13:10:49 GMT","","","","en","1.1","","","","","","https://www.onlinepokerwebsites.com/news/crypto-default-offshore-poker-2026/","2026-08-13 16:10:49"
